id,timestamp,circles
0,1398846686.7818458,[]
1,1398846686.8069847,[]
2,1398846686.8321815,[]
3,1398846686.8564546,[]
4,1398846686.8828313,[]
5,1398846686.9068892,[]
6,1398846686.9328997,[]
7,1398846686.9578779,[]
8,1398846686.9830184,[]
9,1398846687.0071993,[]
10,1398846687.0438144,[]
11,1398846687.0838635,[]
12,1398846687.0838974,[]
13,1398846687.1238449,[]
14,1398846687.1325877,[]
15,1398846687.171852,[]
16,1398846687.2119377,[]
17,1398846687.2119608,[]
18,1398846687.251889,[]
19,1398846687.2580109,[]
20,1398846687.2959177,[]
21,1398846687.3358605,[]
22,1398846687.3358915,[]
23,1398846687.375868,[]
24,1398846687.3839257,[]
25,1398846687.423863,[]
26,1398846687.4638557,[]
27,1398846687.4638853,[]
28,1398846687.5038507,[]
29,1398846687.5083864,[]
30,1398846687.5478802,[]
31,1398846687.5878778,[]
32,1398846687.5879357,[]
33,1398846687.6278598,[]
34,1398846687.6337943,[]
35,1398846687.6719084,[]
36,1398846687.7118275,[]
37,1398846687.711845,[]
38,1398846687.751839,[]
39,1398846687.7584808,[]
40,1398846687.795829,[]
41,1398846687.8358245,[]
42,1398846687.835854,[]
43,1398846687.8758535,[]
44,1398846687.8841367,[]
45,1398846687.9238353,[]
46,1398846687.9638736,[]
47,1398846687.9639046,[]
48,1398846688.0038989,[]
49,1398846688.009553,[]
50,1398846688.0478714,[]
51,1398846688.0878406,[]
52,1398846688.0878685,[]
53,1398846688.1278632,[]
54,1398846688.1350095,[]
55,1398846688.1719055,[]
56,1398846688.2119246,[]
57,1398846688.2119474,[]
58,1398846688.2518823,[]
59,1398846688.2610302,[]
60,1398846688.2998452,[]
61,1398846688.339779,[]
62,1398846688.3397965,[]
63,1398846688.3799343,[]
64,1398846688.3851457,[]
65,1398846688.4238544,[]
66,1398846688.463937,[]
67,1398846688.4639702,[]
68,1398846688.5038607,[]
69,1398846688.5106595,[]
70,1398846688.5478363,[]
71,1398846688.5878494,[]
72,1398846688.5878816,[]
73,1398846688.6279128,[]
74,1398846688.635963,[]
75,1398846688.675925,[]
76,1398846688.7158778,[]
77,1398846688.7159066,[]
78,1398846688.7558784,[]
79,1398846688.7609782,[]
80,1398846688.7998827,[]
81,1398846688.8398612,[]
82,1398846688.839887,[]
83,1398846688.8799515,[]
84,1398846688.8869233,[]
85,1398846688.9238484,[]
86,1398846688.9638748,[]
87,1398846688.963903,[]
88,1398846689.003883,[]
89,1398846689.0122125,[]
90,1398846689.0518432,[]
91,1398846689.0919104,[]
92,1398846689.0919302,[]
93,1398846689.131893,[]
94,1398846689.1365943,[]
95,1398846689.1758783,[]
